2014100502,BUF,3.154,4.544,0.857,0.694,11.714,28.091
2014100503,IND,7.375,4.4,0.833,0.689,59.0,33.0
2014100504,JAX,4.429,4.548,0.75,0.667,31.0,23.5
2014100505,NO,6.0,4.653,0.632,0.619,52.5,41.875
2014100506,NYG,3.955,3.692,0.545,0.667,43.5,34.286
2014100507,LA,2.667,5.75,0.333,0.634,16.0,51.75
2014100508,TEN,5.25,3.111,0.652,0.5,39.667,56.0
2014100509,ARI,3.419,2.224,0.412,0.278,35.333,8.385
2014100510,SD,6.3,4.344,0.75,0.778,63.0,33.125
2014100511,KC,4.395,4.04,0.632,0.5,55.667,16.833
2014100512,NE,6.667,4.598,1.0,0.611,80.0,40.545
2014100600,SEA,8.125,5.512,0.333,0.792,65.0,37.667
2014100900,HOU,3.222,6.293,0.455,0.714,17.4,43.0
2014101200,CHI,3.786,5.857,0.4,0.743,26.5,56.375
2014101201,BUF,4.0,4.694,0.692,0.667,22.0,38.333
2014101202,CAR,3.605,5.299,0.765,0.613,34.25,50.714
2014101203,PIT,3.2,4.224,0.6,0.487,40.0,28.3
2014101204,GB,4.143,3.779,0.636,0.562,38.667,32.125
2014101205,DET,8.889,2.308,1.0,0.485,80.0,15.0
2014101206,DEN,9.625,3.523,0.75,0.69,77.0,21.643
2014101207,BAL,12.143,5.099,1.0,0.75,85.0,37.545
2014101208,JAX,4.389,4.889,0.692,0.667,39.5,35.2
2014101210,ARI,4.12,3.314,0.727,0.6,25.75,21.091
2014101211,SEA,3.722,2.896,0.667,0.5,22.333,19.857
2014101212,PHI,6.091,5.139,0.8,0.667,67.0,31.231
2014101300,LA,4.143,3.521,0.75,0.5,43.5,20.833
2014101600,NE,5.333,3.417,0.522,0.529,41.6,24.6
2014101900,ATL,3.765,3.097,0.625,0.667,32.0,32.0
2014101901,MIN,3.867,3.687,0.5,0.682,29.0,24.7
2014101902,CHI,3.375,4.833,0.8,0.613,27.0,29.0
2014101903,DET,3.227,5.0,0.667,0.647,17.75,45.714
2014101904,GB,6.724,3.882,0.833,0.714,48.75,22.0
2014101905,IND,4.263,5.3,0.583,0.645,40.5,38.545
2014101906,JAX,5.214,3.388,0.706,0.5,27.375,23.714
2014101908,WAS,10.667,4.712,1.0,0.7,64.0,31.273
2014101909,SD,2.783,4.628,0.545,0.522,16.0,28.429
2014101910,DAL,6.426,4.278,0.737,1.0,43.556,25.667
2014101911,LV,3.29,3.576,0.5,0.579,20.4,29.5
2014102000,PIT,3.625,4.275,0.625,0.714,58.0,22.692
2014102300,DEN,6.8,5.149,0.8,0.679,68.0,31.364
2014102600,ATL,5.25,6.571,0.75,0.737,63.0,32.2
2014102601,SEA,2.143,5.339,0.714,0.654,10.0,52.5
2014102602,CIN,4.769,4.759,0.833,0.76,41.333,34.5
2014102603,JAX,5.28,5.885,0.5,0.615,44.0,32.636
